Country ,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Ivory Coast,Sub-Saharan Africa,85,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.093495794,0.169915587,3.081022501
Benin,Sub-Saharan Africa,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.125931874,0.196670428,3.440809727
Congo (Brazzaville),Sub-Saharan Africa,88,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.118670784,0.117216013,2.722619534
Azerbaijan,Central and Eastern Europe,89,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.247307181,0.040113214,1.507632971
Ghana,Sub-Saharan Africa,91,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.056570381,0.261291206,2.378437281
Nepal,Southern Asia,92,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.127502963,0.300971806,2.014386892
Turkey,Middle East and Northern Africa,93,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.120983243,0.085885569,1.564816713
China,Eastern Asia,94,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.117255554,0.079021044,1.336181879
Turkmenistan,Central and Eastern Europe,95,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.03350389,0.323129326,1.115337372
Bulgaria,Central and Eastern Europe,96,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0,0.103833713,1.294961452
Morocco,Middle East and Northern Africa,97,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.077385604,0.040032551,2.378402472
Cameroon,Sub-Saharan Africa,98,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.054393422,0.198020101,2.719370842
Venezuela,Latin America and Caribbean,99,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.063624777,0.087179154,1.74484086
Algeria,Middle East and Northern Africa,100,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.129190654,0.118915014,1.840811729
Senegal,Sub-Saharan Africa,101,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.081865937,0.164397135,2.405123949
Guinea,Sub-Saharan Africa,102,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.112204559,0.249490842,2.740729809
Niger,Sub-Saharan Africa,103,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.137554765,0.208176896,3.017630577
Albania,Central and Eastern Europe,105,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.025361285,0.171027765,1.640897036
Cambodia,Southeastern Asia,106,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.072837502,0.233342081,1.663300037
Bangladesh,Southern Asia,107,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176735908,0.176745117,1.755261898
Gabon,Sub-Saharan Africa,108,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.055804539,0.052013602,1.735027552
